9bc8ff9e-2f36-5094-ac12-b1bf81b53c15	396932ab-c4b3-4526-9201-9222f5f062a5	53891f08-a221-4ca8-a502-cf990bdb6020	Quant.seq.sample2	Quant.seq.sample1	RNA.seq.sample2	RNA.seq.sample1
AMIT_SERUM_RESPONSE_20_MCF10A	0.166215269456969	0.092397715741691	0.189498062701712	0.129985451840486	0.130635217465301	0.202988418875793	0.204795268421519
AMIT_SERUM_RESPONSE_240_MCF10A	0.138941189035626	0.201747857868064	-0.011841925002868	0.13628364543434	0.146871115883541	0.162334139912538	0.16221934514562
AMIT_SERUM_RESPONSE_40_MCF10A	0.330157042972756	0.311654369623802	0.261600029846236	0.133942181502825	0.150163571711286	0.238238881468036	0.240218124527447
AMIT_SERUM_RESPONSE_480_MCF10A	0.229693081053215	0.228722312958739	0.126676661663922	0.253011770567734	0.259639442752273	0.243810571886568	0.244957520349448
AMIT_SERUM_RESPONSE_60_MCF10A	0.254619518610606	0.25638173723553	0.1740470652157	0.114457442264668	0.114706749969575	0.198680860171437	0.200182254586442
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	0.287675035869175	0.305182454961365	0.254983997158637	0.242860849045514	0.253347423764566	0.329416312115739	0.330104832697008
AMUNDSON_RESPONSE_TO_ARSENITE	0.192759942754183	0.212291341987095	0.216280930414178	0.148282922152169	0.145833043861722	0.203786824627156	0.210100570948578
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	0.415575536567717	0.278216294143565	-0.199017648721043	-0.0207354842808676	-0.0121696923407051	0.197884448554071	0.202752300706682
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	-0.0410130851567139	-0.0221366910169603	-0.138021749056122	-0.0222954660196028	-0.013456062935347	-0.0229932104181645	-0.0362233763559655
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	-0.0715363187025856	0.106033842639514	-0.133943958387671	0.0178888772244856	0.0266478695394002	-0.0376506697378922	-0.0377055880876291
ANDERSEN_LIVER_CANCER_KRT19_DN	0.122194302389209	0.0877873609445333	-0.00254044433713169	0.0257605733277189	0.0218710495102474	0.0465538684676367	0.0347168290026958
ANDERSEN_LIVER_CANCER_KRT19_UP	0.393098536006149	0.424927704983877	0.411628589314346	0.39986025103099	0.422099251716929	0.370821350789532	0.371508673860266
APPEL_IMATINIB_RESPONSE	0.24413830421309	0.265056956027298	0.0743456523089192	0.10322950515736	0.131463540675357	0.187083338630749	0.18964503860785
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	0.283744647846803	0.307194999361305	0.251851017045516	0.305220013218213	0.311735089156865	0.332596192222937	0.332293895938046
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.247241339881756	0.26317412013426	0.167888150429754	0.248525282268099	0.24449610394019	0.22829579487993	0.2255140731951
APRELIKOVA_BRCA1_TARGETS	0.275098133444428	0.282167967047393	0.20138728555826	0.300969507861503	0.297684118526007	0.28396199657232	0.286524333318862
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.00221358588830231	-0.013389347589791	0.0575871847906174	-0.00828645167299854	-0.0161026639241367	-0.00415242463571268	-0.00504961858328179
ASTIER_INTEGRIN_SIGNALING	0.186742106495815	0.184575542730271	0.208116374789508	0.114448278625684	0.108780713627807	0.134354415823787	0.123683317269234
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	0.129860014485631	0.146343789878312	0.131553934435397	0.0887904361483701	0.08970827923869	0.114644661920372	0.11413251959464
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	0.128068481910415	0.0754549304758897	0.140414156655354	0.0452203796013856	0.0395811914925704	0.0612289442635649	0.0748393694748754
AUJLA_IL22_AND_IL17A_SIGNALING	-0.022936600518306	-0.277439341298588	-0.375358089420388	-0.0293014469470397	-0.0220523503957488	-0.374250288697161	-0.341343475014636
AUNG_GASTRIC_CANCER	0.189291758348247	0.210762012654136	0.206912452243986	0.111435978084373	0.112629974674385	0.215901844783324	0.210476132171063
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.103519144366727	0.130925087735908	-0.136723752895819	-0.0203070022902225	-0.0106117413408403	0.00971477778087619	0.00792153231859801
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	0.202888870898977	0.228915778532646	0.0931881471321747	0.0781521234690568	0.0751848721673805	0.177410218903604	0.177290278652545
AZARE_STAT3_TARGETS	0.288665478397522	0.382602887455987	0.245939951509994	0.25139911274276	0.251712552464552	0.297955866752251	0.295785776381111
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0.2290462610963	0.25805126014583	0.272874945422421	0.0782786198881834	0.0969089822829668	0.27395119823623	0.277021049671769
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.184680126672466	0.168586593399474	0.0274051839306843	0.0677605475085352	0.078821797263461	0.15843972836948	0.173236298035378
BAELDE_DIABETIC_NEPHROPATHY_DN	0.19460619927964	0.26232479815995	0.16307504924298	0.124066511398471	0.127624234369871	0.187409437429896	0.198588546268339
BAELDE_DIABETIC_NEPHROPATHY_UP	0.214589012569137	0.102672757340919	0.0152368115598417	0.0165686391862835	0.018037321285814	0.00824599824506319	-0.0011147847436917
BAE_BRCA1_TARGETS_DN	0.206721628715872	0.272873093096872	0.181807391270677	0.161743904639338	0.158356055604415	0.204391535610562	0.213814536496628
BAE_BRCA1_TARGETS_UP	0.239949371862841	0.292288521648207	0.209853694673007	0.186436481580002	0.185336740617692	0.23844816446921	0.239537450914215
BAKER_HEMATOPOESIS_STAT1_TARGETS	0.210734971315999	0.263895685927861	0.0653671207356477	0.0635500332423429	0.0839134115543436	0.134649775946129	0.144224528189984
BAKER_HEMATOPOESIS_STAT5_TARGETS	0.305786124900084	0.364195754375523	0.258893304617479	0.291751725886037	0.301545091860278	0.227737954115723	0.215710142356252
BAKER_HEMATOPOIESIS_STAT3_TARGETS	0.305474149502376	0.379634245564181	0.189237666845495	0.236012448990325	0.249265478851705	0.252711476091701	0.25603699953302
BAKKER_FOXO3_TARGETS_DN	0.195534937747179	0.182497931200804	0.159319153291727	0.127088307340024	0.128753005428981	0.173817383652607	0.172208963398368
BAKKER_FOXO3_TARGETS_UP	0.139061068226647	0.16386803821511	0.208660474322491	0.116767329484506	0.118083005372954	0.123876082412159	0.128151516015427
BALDWIN_PRKCI_TARGETS_UP	0.156111980886091	0.209712304515203	0.201563122304101	0.211987657205199	0.215892001579405	0.2378606225468	0.244690667821174
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	-0.145097806016893	-0.167708504354856	0.0148025835462086	-0.129500456467768	-0.158346842288925	-0.101145477461162	-0.116208122478178
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	0.168137914407647	0.141879269765518	0.0223670737167256	0.0161567769069481	0.0141470022910249	0.0955227139232714	0.0846869166726382
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	0.201364577236601	0.259888877338456	0.256956773755909	0.269817654605964	0.280028827569109	0.228953750670801	0.238119384613767
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	0.2055401909569	0.149913568366409	0.0796161228168355	0.0832224205437521	0.0880015266932334	0.14643046009343	0.136827457202771
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	0.255263378341353	0.29027385131988	0.233729309901395	-0.0171074802543651	0.0194435660615941	0.296036096549326	0.299719482232213
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	0.30407827854673	0.240361170411507	0.163553874121554	0.215189156404167	0.21918830713702	0.250026030938529	0.235983750260407
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	0.192943216207376	0.223207931611242	0.239489766455503	0.202976431614359	0.205357523316196	0.178433486065623	0.181980858868531
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	0.253808092352717	0.190379768187717	0.14712174067089	0.20255169322217	0.19826989976272	0.245224438455851	0.240454218622916
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	0.0831543866461714	0.101683353684931	0.253380033225673	0.0363986021532587	0.0492651844576271	0.000510104342427017	0.00886802110514577
BARIS_THYROID_CANCER_DN	0.204573364413885	0.271265261009629	0.193180206523922	0.155305607412374	0.155374175256869	0.21020715751995	0.214518947618514
BARIS_THYROID_CANCER_UP	0.275021267644628	0.297963778352426	0.305854244232159	0.284862320300503	0.292029020708314	0.252908821239694	0.26465982077499
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	0.32315727960713	0.23325492845817	0.3033999365987	0.196791672707895	0.19727719703563	0.28820985266465	0.281350961692147
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	-0.0583577487516106	0.136165222963645	0.0549224629969123	-0.00176553218461897	-0.00327115947489154	-0.0325746018744714	-0.0177674080783787
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	0.119621699352005	0.0905936342280152	0.122685339615384	0.118311822455963	0.110477474549468	0.139889313005141	0.131626439691598
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	0.169112565402745	0.304941174445922	0.253264562999088	0.295060270939494	0.299293985888393	0.219449287993154	0.244466640314414
BARRIER_COLON_CANCER_RECURRENCE_DN	0.311183391030753	0.187962729983373	0.206023343561801	0.139263571863269	0.132242159936419	0.219544166881203	0.225607653298176
BARRIER_COLON_CANCER_RECURRENCE_UP	0.129981419321743	0.167199064796486	0.177768381446379	0.168384523087359	0.172823688496377	0.139049839218562	0.153128087559008
BASAKI_YBX1_TARGETS_DN	0.0859218784603662	0.132477102485556	0.150919185873277	0.0499987788861428	0.0487576887852554	0.0805053082749517	0.0997979899622746
BASAKI_YBX1_TARGETS_UP	0.182348555069534	0.212467280616934	0.104026418030455	0.296895280934934	0.30037724922098	0.286707430093942	0.288183752360224
BASSO_B_LYMPHOCYTE_NETWORK	0.269672897189919	0.318164158720754	0.270960619518079	0.264817973306706	0.271834576861295	0.263903347620407	0.268739683245239
BASSO_CD40_SIGNALING_DN	0.13369212286021	0.136053415764061	0.160578111743855	0.0687505058492002	0.0616236018440626	0.0131897122861224	0.00834460428643894
BASSO_CD40_SIGNALING_UP	0.194145363639242	0.319453566942303	0.249018339295605	0.0562356669090303	0.0659590030631645	0.10973598279603	0.10276408153256
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.246432671335005	0.18936356629734	0.114897131583748	0.12060006344969	0.121092920283166	0.196596673621294	0.191644099891809
BAUS_TFF2_TARGETS_DN	0.0834288258605103	0.0774093725013002	-0.00883290776693584	0.245119008682029	0.244995029985893	0.20275907959457	0.204668377282028
BAUS_TFF2_TARGETS_UP	0.211311196020459	0.362373932408177	0.280835751826308	-0.0867535941281269	-0.14090296787686	0.214018881723087	0.22037641331745
BECKER_TAMOXIFEN_RESISTANCE_DN	0.173835865579401	0.209305073733171	0.0800261770274484	0.154628087984044	0.15875758411663	0.171319763089001	0.187930999618391
BECKER_TAMOXIFEN_RESISTANCE_UP	0.232640960944196	0.305705441746829	0.165515291191386	0.216574081409109	0.213434349236453	0.238937343429542	0.245560149706711
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	0.15577081213941	0.176337913553957	-0.126739298437751	-0.0722212486173651	-0.0572887250116539	-0.00196852700274637	-0.0174785141741281
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.255903443492718	0.212587555129514	-0.0423717647268885	0.151000453378407	0.154079541615915	0.195386370687695	0.182426252550598
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.0730418594714534	0.0694153464353966	-0.0130342613479886	-0.0805505617548954	-0.068508024881909	-0.00964576037337725	0.0139370037108877
BEIER_GLIOMA_STEM_CELL_DN	0.251484079455133	0.27186682262595	0.253678233745786	-0.0187277002027671	0.0204171869809814	0.061134435976362	0.0570116360730634
BEIER_GLIOMA_STEM_CELL_UP	-0.0261730143757658	-0.0523104144872088	-0.0394059379916168	-0.0881568855386952	-0.085671950473097	-0.105501024521773	-0.108757760477047
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	0.272663021429573	0.235196452093637	0.233782136986622	0.267058767538099	0.270458498834416	0.30492842664395	0.306659795432254
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.200032177139624	0.439605808527647	0.11594340858087	-0.0213953325505159	-0.0192214322360028	0.337865288733446	0.351714239677483
BENPORATH_ES_1	0.0907776217650331	0.187528295193715	0.119953126972291	0.181113209266642	0.181692570089878	0.154706430076671	0.16117267514177
BENPORATH_ES_2	0.019584212295396	0.0431602313681363	0.0277532830094528	0.131804233785291	0.128093628013124	0.0664060706664651	0.0513235609991952
BENPORATH_ES_CORE_NINE	0.227630448528019	0.396863269497902	0.141306435140647	0.243096274282648	0.241042223913491	0.234931092605094	0.221699840499811
BENPORATH_ES_CORE_NINE_CORRELATED	0.197594613698473	0.319748785109242	0.228106206334623	0.206448822032203	0.206698819524876	0.227099280687732	0.218620422955879
BENPORATH_MYC_TARGETS_WITH_EBOX	0.281690698079732	0.285441667103986	0.257261716976445	0.294321443006246	0.296036343119103	0.299729452453791	0.299303615914928
BENPORATH_NOS_TARGETS	0.132913282657609	0.189131050811693	0.16402718982741	0.107190848956563	0.102191610507907	0.13838899804216	0.141802754952043
BENPORATH_OCT4_TARGETS	0.165204550915475	0.195617663509294	0.163798717831129	0.147016775553859	0.147300006588457	0.147771324024333	0.148816801217464
BENPORATH_PRC2_TARGETS	-0.0862007362888851	-0.146645027264375	-0.230504082122752	-0.157046045728413	-0.154136808177655	-0.168738393700051	-0.174506324954245
BENPORATH_PROLIFERATION	0.126851939390471	0.254739872698117	0.189719710815912	0.314054826717794	0.314442410219222	0.241997985652757	0.253994475858968
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.277208266107256	0.267738211515359	0.172885567579068	0.235039578278588	0.237501345431234	0.311479423384245	0.323564801022556
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	0.262988658005326	0.270819667595996	0.160124281583879	-0.0190259907466352	-0.0306561579728794	0.154891373457478	0.155085349899607
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.287729263337147	0.256014114022952	0.13429749752773	0.140109242863061	0.143643864629181	0.210350351715898	0.208816881549866
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	0.158995473370903	0.181328520327542	0.0625563885393925	0.140837314840167	0.138163052622515	0.20236120168043	0.213758048120382
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	0.293801943527078	0.244915241362551	-0.00741123034452775	0.0600714663882043	0.0839075420114901	-0.0352523605967936	-0.0273197568809249
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	0.286560354525339	0.210178124941131	0.0939016565627085	0.182897173664358	0.193902200946596	0.271348037041787	0.276529173057852
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	0.354098020696277	0.320258199129056	0.23105216297546	0.237384678905275	0.240195634441646	0.323039184431098	0.321759830770918
BERNARD_PPAPDC1B_TARGETS_DN	0.0912075000235509	0.131309070766716	0.0478502445531912	0.00647611521922655	0.0130793301330418	0.0366700667284896	0.0261893590892138
BERNARD_PPAPDC1B_TARGETS_UP	0.0897981080036383	0.1635003302931	0.206616270507771	0.141205268930671	0.13262264434635	0.114119129330559	0.131649096317081
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	0.174207470159536	0.077146234240013	0.0470229763769247	-0.0374892880307911	-0.0399854394043835	-0.0468973976188492	-0.0492770807504076
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	0.138433382939533	0.238895937183293	0.0990129436467588	0.118306155921042	0.113681320356227	0.11544380491741	0.110828616433412
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.193988985526604	0.0711852624708704	-0.0514515758371093	0.0604917258799648	0.0621723085349281	0.0913830943821267	0.0926770814110495
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.140392526515041	0.271784985029334	0.196088085363791	0.096627493470091	0.089847139990096	0.168501934909479	0.167226850653229
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.156990080456175	0.156587396803369	0.11077044205624	0.0975261758643369	0.114060480354441	0.10098469451573	0.0961384544092215
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	0.100033360143848	0.226226141651968	0.0986628083225786	0.165562764653898	0.161924577503536	0.184547953330936	0.197329642943891
BHATTACHARYA_EMBRYONIC_STEM_CELL	0.275103880606679	0.338282353858142	0.257831419405362	0.283423507968881	0.29516662916763	0.323942353225633	0.330942796605629
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.0999792203865822	0.129144368398854	0.0497666452548086	-0.0261261354312293	-0.0218424099490289	0.0461984523989331	0.0437273456308853
