set_name	gsva_score	sd	up_down
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.203999509630343	0.00121933470325065	red
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.260521829933676	0.000553168259069183	red
AIGNER_ZEB1_TARGETS	-0.0873835220161263	0.00127156551612824	blue
AIYAR_COBRA1_TARGETS_DN	0.230312838114747	0.0002293948813242	red
AIYAR_COBRA1_TARGETS_UP	0.159343396505624	0.00845430849029122	red
AKL_HTLV1_INFECTION_DN	0.0618011795487679	0.00143178487756796	red
AKL_HTLV1_INFECTION_UP	0.247646563291333	0.00849543137435582	red
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.0602704220649393	0.00680296382389132	red
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.0513070676439904	0.00185892367827843	red
ALCALA_APOPTOSIS	0.226295290503199	0.00924936111707898	red
ALFANO_MYC_TARGETS	0.200409196030482	0.00179265433174114	red
ALONSO_METASTASIS_DN	-0.0264940500049804	0.000278927912862275	blue
ALONSO_METASTASIS_EMT_DN	-0.153174154026812	0.00218672058114338	blue
ALONSO_METASTASIS_EMT_UP	0.270829948407949	0.000277903038629585	red
ALONSO_METASTASIS_NEURAL_UP	0.193528640439878	0.0045063680000306	red
ALONSO_METASTASIS_UP	0.295636946288094	0.00343932817853286	red
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	0.0138156023432161	0.0100933412120451	red
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	0.0470134163700256	0.00653304931420162	red
AMIT_DELAYED_EARLY_GENES	0.311220039355228	0.0132869361536404	red
AMIT_EGF_RESPONSE_120_HELA	0.19431655180056	0.00889324805309617	red
AMIT_EGF_RESPONSE_120_MCF10A	0.227796748977474	0.00831470395359549	red
AMIT_EGF_RESPONSE_20_HELA	0.169463858597168	0.00565188072853947	red
AMIT_EGF_RESPONSE_20_MCF10A	0.261328766437719	0.0126939905747019	red
AMIT_EGF_RESPONSE_240_HELA	0.217106596308704	0.00760330766405319	red
AMIT_EGF_RESPONSE_240_MCF10A	0.106179286820154	0.0115149739474854	red
AMIT_EGF_RESPONSE_40_HELA	0.190497539640599	0.00386211804053694	red
AMIT_EGF_RESPONSE_40_MCF10A	0.239985146687673	0.0198405591813179	red
AMIT_EGF_RESPONSE_480_HELA	0.243051266594854	0.00315595918308718	red
AMIT_EGF_RESPONSE_480_MCF10A	0.158317492805395	0.00389275481491704	red
AMIT_EGF_RESPONSE_60_HELA	0.229002705611924	0.012718667180354	red
AMIT_EGF_RESPONSE_60_MCF10A	0.225779502305662	0.00562919241774258	red
AMIT_SERUM_RESPONSE_120_MCF10A	0.223769973271315	0.00927456109575677	red
AMIT_SERUM_RESPONSE_20_MCF10A	0.130310334652894	0.00045945367948921	red
AMIT_SERUM_RESPONSE_240_MCF10A	0.14157738065894	0.00748647215024238	red
AMIT_SERUM_RESPONSE_40_MCF10A	0.142052876607056	0.0114702550166758	red
AMIT_SERUM_RESPONSE_480_MCF10A	0.256325606660004	0.00468647194516896	red
AMIT_SERUM_RESPONSE_60_MCF10A	0.114582096117121	0.00017628716874145	red
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	0.24810413640504	0.00741512809526115	red
AMUNDSON_RESPONSE_TO_ARSENITE	0.147057983006945	0.00173232555225722	red
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	-0.0164525883107864	0.00605692956712199	blue
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	-0.0178757644774749	0.00625040186251849	blue
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.0222683733819429	0.00619354286223697	red
ANDERSEN_LIVER_CANCER_KRT19_DN	0.0238158114189831	0.00275030866692067	red
ANDERSEN_LIVER_CANCER_KRT19_UP	0.41097975137396	0.0157253481918397	red
APPEL_IMATINIB_RESPONSE	0.117346522916359	0.0199644779750377	red
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	0.308477551187539	0.0046068543761662	red
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.246510693104145	0.00284905931827449	red
APRELIKOVA_BRCA1_TARGETS	0.299326813193755	0.00232312107796722	red
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	-0.0121945577985676	0.00552689668597316	blue
ASTIER_INTEGRIN_SIGNALING	0.111614496126746	0.00400757364281477	red
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	0.08924935769353	0.000649013073230442	red
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	0.042400785546978	0.00398750815212974	red
AUJLA_IL22_AND_IL17A_SIGNALING	-0.0256768986713942	0.00512588532889384	blue
AUNG_GASTRIC_CANCER	0.112032976379379	0.000844283085510864	red
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	-0.0154593718155314	0.00685558476268124	blue
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	0.0766684978182186	0.00209816351689989	red
AZARE_STAT3_TARGETS	0.251555832603656	0.00022163535277222	red
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	0.0875938010855751	0.0131736555853142	red
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.0732911723859981	0.00782148471010605	red
BAELDE_DIABETIC_NEPHROPATHY_DN	0.125845372884171	0.00251569003866019	red
BAELDE_DIABETIC_NEPHROPATHY_UP	0.0173029802360488	0.00103851507198532	red
BAE_BRCA1_TARGETS_DN	0.160049980121876	0.00239557102623097	red
BAE_BRCA1_TARGETS_UP	0.185886611098847	0.000777634291997646	red
BAKER_HEMATOPOESIS_STAT1_TARGETS	0.0737317223983432	0.0143990828922827	red
BAKER_HEMATOPOESIS_STAT5_TARGETS	0.296648408873158	0.00692495549102739	red
BAKER_HEMATOPOIESIS_STAT3_TARGETS	0.242638963921015	0.00937130728624933	red
BAKKER_FOXO3_TARGETS_DN	0.127920656384502	0.00117711930733025	red
BAKKER_FOXO3_TARGETS_UP	0.11742516742873	0.000930323342565617	red
BALDWIN_PRKCI_TARGETS_UP	0.213939829392302	0.00276078838308869	red
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	-0.143923649378347	0.0203974750268639	blue
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	0.0151518895989865	0.0014211252595759	red
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	0.274923241087536	0.00722038964610813	red
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	0.0856119736184928	0.00337933836630849	red
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	0.00116804290361452	0.0258454927094783	red
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	0.217188731770593	0.00282782660218806	red
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	0.204166977465277	0.00168368608899602	red
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	0.200410796492445	0.00302768519081772	red
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	0.0428318933054429	0.00909804759811377	red
BARIS_THYROID_CANCER_DN	0.155339891334622	4.84847878139115e-05	red
BARIS_THYROID_CANCER_UP	0.288445670504409	0.00506762245709562	red
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	0.197034434871763	0.000343317544572473	red
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	-0.00251834582975525	0.00106463926689126	blue
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	0.114394648502715	0.00553972053085725	red
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	0.297177128413944	0.00299368854997735	red
BARRIER_COLON_CANCER_RECURRENCE_DN	0.135752865899844	0.00496488798697999	red
BARRIER_COLON_CANCER_RECURRENCE_UP	0.170604105791868	0.00313896396352551	red
BASAKI_YBX1_TARGETS_DN	0.0493782338356991	0.00087758322640094	red
BASAKI_YBX1_TARGETS_UP	0.298636265077957	0.00246212338693992	red
BASSO_B_LYMPHOCYTE_NETWORK	0.268326275084001	0.0049614879543474	red
BASSO_CD40_SIGNALING_DN	0.0651870538466314	0.00503948215089831	red
BASSO_CD40_SIGNALING_UP	0.0610973349860974	0.00687543693034463	red
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.120846491866428	0.00034850240910479	red
BAUS_TFF2_TARGETS_DN	0.245057019333961	8.76661767607312e-05	red
BAUS_TFF2_TARGETS_UP	-0.113828281002493	0.0382893893747338	blue
BECKER_TAMOXIFEN_RESISTANCE_DN	0.156692836050337	0.00291999471823525	red
BECKER_TAMOXIFEN_RESISTANCE_UP	0.215004215322781	0.00222012591039456	red
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	-0.0647549868145095	0.0105588887018266	blue
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.152539997497161	0.00217724417261338	red
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	-0.0745292933184022	0.00851535948557772	blue
BEIER_GLIOMA_STEM_CELL_DN	0.000844743389107144	0.0276796151764109	red
BEIER_GLIOMA_STEM_CELL_UP	-0.0869144180058961	0.00175711443569272	blue
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	0.268758633186258	0.00240397305383783	red
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.0203083823932594	0.0015371796540158	blue
BENPORATH_ES_1	0.18140288967826	0.000409669966864061	red
BENPORATH_ES_2	0.129948930899208	0.0026237945038089	red
BENPORATH_ES_CORE_NINE	0.242069249098069	0.00145243294492975	red
BENPORATH_ES_CORE_NINE_CORRELATED	0.20657382077854	0.000176774922348409	red
BENPORATH_MYC_TARGETS_WITH_EBOX	0.295178893062675	0.00121261749885866	red
BENPORATH_NOS_TARGETS	0.104691229732235	0.00353499540781284	red
BENPORATH_OCT4_TARGETS	0.147158391071158	0.000200274585206639	red
BENPORATH_PRC2_TARGETS	-0.155591426953034	0.00205714160022364	blue
BENPORATH_PROLIFERATION	0.314248618468508	0.000274062922135593	red
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.236270461854911	0.00174073224733819	red
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	-0.0248410743597573	0.00822377011201081	blue
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.141876553746121	0.00249935501975301	red
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	0.139500183731341	0.00189098894877219	red
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	0.0719895041998472	0.0168546507101007	red
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	0.188399687305477	0.00778172941841336	red
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	0.238790156673461	0.0019876457213822	red
BERNARD_PPAPDC1B_TARGETS_DN	0.00977772267613417	0.0046691780431909	red
BERNARD_PPAPDC1B_TARGETS_UP	0.136913956638511	0.00606883204395194	red
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	-0.0387373637175873	0.0017650455631353	blue
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	0.115993738138634	0.00327025258975337	red
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.0613320172074464	0.0011883513916691	red
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.0932373167300935	0.0047944339245463	red
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	0.105793328109389	0.0116915188271559	red
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	0.163743671078717	0.00257258680524674	red
BHATTACHARYA_EMBRYONIC_STEM_CELL	0.289295068568256	0.00830364063193051	red
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	-0.0239842726901291	0.00302905133720552	blue
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	0.0693264574446119	0.000260091858706878	red
BHAT_ESR1_TARGETS_VIA_AKT1_DN	-0.0411032562679504	0.00658981185269682	blue
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.0895032295823512	0.000275961415038681	red
BIDUS_METASTASIS_DN	0.0525021187722142	0.0101591086748113	red
BIDUS_METASTASIS_UP	0.261942365318157	0.000285141311435741	red
BILANGES_RAPAMYCIN_SENSITIVE_GENES	0.194668772201547	0.00428176758565783	red
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.284005374338361	0.00940448856695037	red
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.441343124854474	0.0101253414584377	red
BILANGES_SERUM_RESPONSE_TRANSLATION	0.405153041521732	0.00178443947446746	red
BILANGES_SERUM_SENSITIVE_GENES	0.138808239889132	0.0109415375256205	red
BILANGES_SERUM_SENSITIVE_VIA_TSC1	0.0954712479535652	0.0102634045920945	red
BILANGES_SERUM_SENSITIVE_VIA_TSC2	0.136604836598248	0.00193305260335	red
BILBAN_B_CLL_LPL_DN	0.195191393636324	0.00121172657987529	red
BILBAN_B_CLL_LPL_UP	0.0522290435702952	0.00355615697769791	red
BILD_CTNNB1_ONCOGENIC_SIGNATURE	0.123252631119835	5.63293717809248e-05	red
BILD_E2F3_ONCOGENIC_SIGNATURE	0.0878508718646953	0.00459762237895828	red
BILD_HRAS_ONCOGENIC_SIGNATURE	0.106346813975446	0.00399058445235954	red
BILD_MYC_ONCOGENIC_SIGNATURE	0.182843354546553	0.00423763571639558	red
BILD_SRC_ONCOGENIC_SIGNATURE	0.104631230217463	0.000573991611401875	red
BIOCARTA_41BB_PATHWAY	0.185690865439445	0.00470319269835594	red
BIOCARTA_ACE2_PATHWAY	-0.175703947927917	0.0120361267896251	blue
BIOCARTA_ACH_PATHWAY	0.0537080322636152	0.0207994823295356	red
BIOCARTA_ACTINY_PATHWAY	0.0905812895229761	0.00145447775094014	red
BIOCARTA_AGPCR_PATHWAY	0.0111653397792935	0.00539847374193982	red
BIOCARTA_AGR_PATHWAY	0.0655824018611623	0.012066037781583	red
BIOCARTA_AHSP_PATHWAY	0.206722616413447	0.0135637484924986	red
BIOCARTA_AKAP13_PATHWAY	0.0997332061125268	0.0246353741024711	red
BIOCARTA_AKAP95_PATHWAY	0.282698838936732	0.0048575052661656	red
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.133981324950335	0.00937341212131456	red
BIOCARTA_AKT_PATHWAY	0.129504274820875	0.00975114270880842	red
BIOCARTA_ALK_PATHWAY	0.0892291202450375	0.0057305470778254	red
BIOCARTA_ALTERNATIVE_PATHWAY	-0.137260706759909	0.0212199424014367	blue
BIOCARTA_AMAN_PATHWAY	-0.105368846501592	0.00383901048344323	blue
BIOCARTA_AMI_PATHWAY	-0.103505505954018	0.00109248095156853	blue
BIOCARTA_ARAP_PATHWAY	0.0970212275131718	0.00219891730791439	red
BIOCARTA_ARENRF2_PATHWAY	0.219800766685434	0.00459686812104004	red
BIOCARTA_ARF_PATHWAY	0.132426159631398	0.000422353958115691	red
BIOCARTA_ASBCELL_PATHWAY	-0.187042890421375	0.105649524536899	blue
BIOCARTA_AT1R_PATHWAY	0.169703122731342	0.00302644504142938	red
BIOCARTA_ATM_PATHWAY	0.219271061867685	0.00993138291374808	red
BIOCARTA_ATRBRCA_PATHWAY	0.174711087135501	0.0117403432037366	red
BIOCARTA_BAD_PATHWAY	0.0902347498316043	0.00342933275172901	red
BIOCARTA_BARD1_PATHWAY	0.252896696556565	0.00498789802046803	red
BIOCARTA_BARRESTIN_PATHWAY	0.0431768447203129	0.00850807329285651	red
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.133042032210129	0.00762761587477946	red
BIOCARTA_BARR_MAPK_PATHWAY	0.121504989525999	0.00768346667900483	red
BIOCARTA_BBCELL_PATHWAY	-0.187042890421375	0.105649524536899	blue
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.206279196981243	0.00794666140524128	red
BIOCARTA_BCR_PATHWAY	0.118435378890665	0.00359255802016715	red
BIOCARTA_BIOPEPTIDES_PATHWAY	0.13881250472191	0.00371878484902103	red
BIOCARTA_BLYMPHOCYTE_PATHWAY	-0.214945502717946	0.0962719478015284	blue
BIOCARTA_BTG2_PATHWAY	0.243416304240099	0.00197304168961276	red
BIOCARTA_CACAM_PATHWAY	0.171599496988934	0.000161788132146267	red
BIOCARTA_CALCINEURIN_PATHWAY	0.10687612250156	0.00508123736699493	red
BIOCARTA_CARDIACEGF_PATHWAY	0.143370572871076	0.00457481452569642	red
BIOCARTA_CARM1_PATHWAY	0.111650369335582	0.00223737724078285	red
BIOCARTA_CARM_ER_PATHWAY	0.172414330831505	1.23267034162113e-05	red
BIOCARTA_CASPASE_PATHWAY	0.132894346077608	0.000583426019028928	red
BIOCARTA_CB1R_PATHWAY	-0.225364486499734	0.00686647223094965	blue
BIOCARTA_CBL_PATHWAY	-0.00629740478812598	0.00922116685084066	blue
BIOCARTA_CCR3_PATHWAY	0.135554580960321	0.00352864063539452	red
BIOCARTA_CCR5_PATHWAY	0.0970482111447354	0.00320833542485276	red
BIOCARTA_CD40_PATHWAY	0.153956417780941	0.00489197146482317	red
BIOCARTA_CDC25_PATHWAY	0.177579966320517	0.000774188646651312	red
BIOCARTA_CDC42RAC_PATHWAY	0.204071547494327	0.00376317148983735	red
BIOCARTA_CDK5_PATHWAY	0.271027695404723	0.00924560091261812	red
BIOCARTA_CDMAC_PATHWAY	0.200911475058091	0.0035116718229935	red
BIOCARTA_CELL2CELL_PATHWAY	0.0894519791273595	0.00562983007023152	red
BIOCARTA_CELLCYCLE_PATHWAY	0.283101357942481	0.000788854488257046	red
BIOCARTA_CERAMIDE_PATHWAY	0.202814672051225	0.00178067448275344	red
BIOCARTA_CFTR_PATHWAY	0.125407422518306	0.0126463168666293	red
BIOCARTA_CHEMICAL_PATHWAY	0.16723427914711	0.000449277736928197	red
BIOCARTA_CHREBP_PATHWAY	0.0505295852012169	0.00176526511926864	red
BIOCARTA_CIRCADIAN_PATHWAY	0.0534284047009223	0.0130505196519105	red
BIOCARTA_CK1_PATHWAY	0.0812618978556724	0.000339450385118618	red
BIOCARTA_CLASSIC_PATHWAY	-0.343979366284671	0.0144795307112498	blue
BIOCARTA_COMP_PATHWAY	-0.161265043063565	0.0100492308409443	blue
BIOCARTA_CPSF_PATHWAY	0.284439635346146	0.0038642560979565	red
BIOCARTA_CREB_PATHWAY	0.121669495792856	0.00359371209575704	red
BIOCARTA_CSK_PATHWAY	-0.128974425990936	0.0484575831631586	blue
BIOCARTA_CTBP1_PATHWAY	0.179130286410041	0.00314441523628971	red
BIOCARTA_CTCF_PATHWAY	0.0523694337270939	0.00205852291182915	red
BIOCARTA_CTLA4_PATHWAY	-0.189776254207589	0.0688729818547627	blue
BIOCARTA_CTL_PATHWAY	-0.0498788964829894	0.0863436178808148	blue
BIOCARTA_CXCR4_PATHWAY	0.109528397336348	0.00131295917639446	red
BIOCARTA_CYTOKINE_PATHWAY	-0.0435709814564656	0.000224238587892267	blue
BIOCARTA_D4GDI_PATHWAY	0.0579909179099333	6.9434232206013e-05	red
BIOCARTA_DC_PATHWAY	-0.0876241608258458	0.0108552916181176	blue
BIOCARTA_DEATH_PATHWAY	0.127331683359943	0.00202585324127244	red
BIOCARTA_DICER_PATHWAY	0.0913763711883206	0.00394664930926733	red
BIOCARTA_DNAFRAGMENT_PATHWAY	0.242975871015706	0.00239252372698896	red
BIOCARTA_DREAM_PATHWAY	0.120774577835008	0.00289057983510535	red
BIOCARTA_DSP_PATHWAY	0.22495311710908	0.00826035027950619	red
BIOCARTA_ECM_PATHWAY	0.197423992645287	0.00328922490996282	red
BIOCARTA_EDG1_PATHWAY	0.101067883185172	0.00311488924996559	red
BIOCARTA_EEA1_PATHWAY	0.117818566728516	0.000824063688001987	red
BIOCARTA_EFP_PATHWAY	0.238790017924368	0.0075633000590138	red
BIOCARTA_EGFR_SMRTE_PATHWAY	0.0131445227302174	0.00419323063170584	red
BIOCARTA_EGF_PATHWAY	0.131169937561735	0.000232333095560058	red
BIOCARTA_EICOSANOID_PATHWAY	-0.195808675786454	0.0274299457327273	blue
BIOCARTA_EIF2_PATHWAY	0.276563804761297	0.000782265139443542	red
BIOCARTA_EIF4_PATHWAY	0.138057587252241	0.000865696270655345	red
BIOCARTA_EIF_PATHWAY	0.327216803530453	0.000360812872471235	red
BIOCARTA_EOSINOPHILS_PATHWAY	-0.284849666712586	0.141712528847749	blue
BIOCARTA_EPHA4_PATHWAY	-0.0493529941175939	0.00513076909010611	blue
BIOCARTA_EPONFKB_PATHWAY	0.13906399277546	0.001849991869338	red
BIOCARTA_EPO_PATHWAY	0.132827678586665	0.00138111701131183	red
BIOCARTA_ERAD_PATHWAY	0.233335053155752	0.000856940779791093	red
BIOCARTA_ERBB3_PATHWAY	-0.120718882110261	0.0039604577136768	blue
BIOCARTA_ERBB4_PATHWAY	-0.138594210290908	0.00476127596364473	blue
BIOCARTA_ERK5_PATHWAY	0.147534827248686	0.00290481960277449	red
BIOCARTA_ERK_PATHWAY	0.14879150765922	0.00490828960015536	red
BIOCARTA_ERYTH_PATHWAY	0.00794928211380683	0.00228722397841125	red
BIOCARTA_ETC_PATHWAY	0.26470106555512	0.00408150594531737	red
BIOCARTA_ETS_PATHWAY	0.213805733023152	0.0031816508862539	red
BIOCARTA_EXTRINSIC_PATHWAY	-0.0698993024094605	0.0319237332293475	blue
BIOCARTA_FAS_PATHWAY	0.185287727559878	0.00709728942187424	red
BIOCARTA_FBW7_PATHWAY	0.300963681099372	0.00237972506572837	red
BIOCARTA_FCER1_PATHWAY	0.104551179950233	0.00085159553878268	red
BIOCARTA_FEEDER_PATHWAY	0.106347684032709	0.00284064240152769	red
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.0834117340409096	0.0029695008185828	red
BIOCARTA_FLUMAZENIL_PATHWAY	0.10861621699134	0.00108466334458604	red
BIOCARTA_FMLP_PATHWAY	0.182877006717737	0.00518692177205916	red
BIOCARTA_FREE_PATHWAY	0.288120211340416	0.00674991292452774	red
BIOCARTA_FXR_PATHWAY	-0.0794372881767135	0.028482184713481	blue
BIOCARTA_G1_PATHWAY	0.218513736037125	0.0044569087450115	red
BIOCARTA_G2_PATHWAY	0.255239405604209	0.00677188821615393	red
BIOCARTA_GABA_PATHWAY	-0.0197398945533831	0.0180395215206189	blue
BIOCARTA_GATA3_PATHWAY	0.0390066881146465	0.000405404116656194	red
BIOCARTA_GCR_PATHWAY	0.255943922102286	0.00129834294732699	red
BIOCARTA_GHRELIN_PATHWAY	-0.12985808272318	0.00320156044532644	blue
BIOCARTA_GH_PATHWAY	0.0539923585922883	0.00763992611986762	red
BIOCARTA_GLEEVEC_PATHWAY	0.148996590245082	0.00386915880098222	red
BIOCARTA_GPCR_PATHWAY	0.128526122610444	0.00287003059867452	red
BIOCARTA_GRANULOCYTES_PATHWAY	-0.265425822507097	0.0123568231057115	blue
BIOCARTA_GSK3_PATHWAY	0.155575514826686	0.00317656490416266	red
BIOCARTA_HBX_PATHWAY	0.176286612318584	0.013008632707315	red
BIOCARTA_HCMV_PATHWAY	0.143348636110186	0.00490120041414226	red
BIOCARTA_HDAC_PATHWAY	0.100043597098392	0.00363898303209008	red
BIOCARTA_HER2_PATHWAY	0.0613505656741714	0.00266297529998034	red
BIOCARTA_HES_PATHWAY	0.0647985165638104	0.00129477529319772	red
BIOCARTA_HIF_PATHWAY	0.254974006887552	0.000574089353965821	red
BIOCARTA_HIVNEF_PATHWAY	0.157791503130653	0.00111680237141485	red
BIOCARTA_HSP27_PATHWAY	0.163201358616995	0.0132175392123944	red
BIOCARTA_HSWI_SNF_PATHWAY	0.250602317315678	0.011614087845744	red
BIOCARTA_IFNA_PATHWAY	0.168312564275589	0.0226599468263749	red
BIOCARTA_IFNG_PATHWAY	0.0708147179462187	0.00278529155370781	red
BIOCARTA_IGF1MTOR_PATHWAY	0.173110114065243	0.00363779714091146	red
BIOCARTA_IGF1R_PATHWAY	0.145546585006443	0.00182860434236664	red
BIOCARTA_IGF1_PATHWAY	0.169208088675252	0.00388463952297301	red
BIOCARTA_IL10_PATHWAY	0.111644524251469	0.000760916499128664	red
BIOCARTA_IL12_PATHWAY	-0.0125735777402258	0.00484910491292237	blue
BIOCARTA_IL17_PATHWAY	-0.207777976173303	0.000701896062163843	blue
BIOCARTA_IL1R_PATHWAY	0.0786934967250459	0.00054902842447759	red
BIOCARTA_IL22BP_PATHWAY	0.102356065822734	0.00444619977625676	red
BIOCARTA_IL2RB_PATHWAY	0.0997287517408003	0.00566803672815034	red
BIOCARTA_IL2_PATHWAY	0.0917022857940155	0.00486159111952631	red
